megye;jaras;cim;telepules_tipusa;lakossag;vedett;lats;longs;location_levels
FEJ;Bicskei;Bicske;város;12490;7776;47.4907066;18.6358046;LocLevel.PRECISE
NOG;Bátonyterenyei;Mátramindszent;község;760;473;47.9802783;19.9324244;LocLevel.PRECISE
BOR;Miskolci;Sajókápolna;község;405;252;48.1954279;20.6848762;LocLevel.PRECISE
BAR;Pécsi;Cserkút;község;651;405;46.0762599;18.135226;LocLevel.PRECISE
BEK;Békéscsabai;Kétsoprony;község;1346;837;46.7191754;20.883979;LocLevel.PRECISE
BOR;Miskolci;Nyékládháza;város;5151;3203;47.9922271;20.8305698;LocLevel.PRECISE
VAS;Kőszegi;Nemescsó;község;312;194;47.3506303;16.6165579;LocLevel.PRECISE
FEJ;Dunaújvárosi;Kulcs;község;3516;2186;47.0529379;18.9163165;LocLevel.PRECISE
HEV;Gyöngyösi;Atkár;község;1845;1147;47.7196216;19.8901629;LocLevel.PRECISE
VES;Veszprémi;Veszprémfajsz;község;259;161;47.0364131;17.8956997;LocLevel.PRECISE
GYO;Téti;Csikvánd;község;502;312;47.4655377;17.4510498;LocLevel.PRECISE
HEV;Egri;Szarvaskő;község;391;243;47.9885147;20.3302035;LocLevel.PRECISE
NOG;Rétsági;Tolmács;község;758;471;47.9294431;19.1090835;LocLevel.PRECISE
FEJ;Székesfehérvári;Pátka;község;1793;1114;47.2770976;18.4870991;LocLevel.PRECISE
HEV;Egri;Tarnaszentmária;község;235;146;47.8788748;20.2022464;LocLevel.PRECISE
BOR;Kazincbarcikai;Bánhorváti;község;1357;843;48.2258105;20.5024796;LocLevel.PRECISE
CSO;Szentesi;Szegvár;nagyközség;4344;2698;46.5851274;20.221903;LocLevel.PRECISE
SOM;Barcsi;Barcs;város;10786;6699;45.9605366;17.4634342;LocLevel.PRECISE
ZAL;Zalaegerszegi;Sárhida;község;773;480;46.757687;16.8425323;LocLevel.PRECISE
NOG;Rétsági;Nógrádsáp;község;952;591;47.8393251;19.3554001;LocLevel.PRECISE
SZA;Nyíregyházi;Napkor;község;3863;2398;47.9422745;21.8684282;LocLevel.PRECISE
BOR;Sárospataki;Olaszliszka;község;1632;1013;48.2436306;21.4361913;LocLevel.PRECISE
BOR;Mezőkövesdi;Borsodgeszt;község;290;180;47.9576367;20.6932303;LocLevel.PRECISE
VAS;Sárvári;Vashosszúfalu;község;369;229;47.112689;17.0597409;LocLevel.PRECISE
ZAL;Nagykanizsai;Kacorlak;község;195;121;46.5738437;16.9541006;LocLevel.PRECISE
BAR;Komlói;Magyaregregy;község;751;466;46.2510091;18.3082723;LocLevel.PRECISE
CSO;Mórahalmi;Üllés;község;3109;1929;46.3371407;19.8486229;LocLevel.PRECISE
